Image,x0,y0,x1,y1
0000e88ab.jpg,225,158,864,421
000a6daec.jpg,1,3,1043,455
00a3dd76f.jpg,29,98,1041,442
00a4de95e.jpg,13,30,1022,340
00a9dc47d.jpg,4,1,363,99
00b7ffb8a.jpg,7,70,1042,469
00b92e9bf.jpg,18,74,681,297
00bc4dade.jpg,29,158,1017,412
00c59bce9.jpg,3,170,1045,396
00caa5c60.jpg,55,78,914,512
00cf9982e.jpg,30,148,1025,508
00d6cbcbf.jpg,182,240,922,409
00d07df97.jpg,12,56,1036,331
00d7dc401.jpg,0,5,1044,488
00d9e8278.jpg,33,127,878,342
00d43f154.jpg,23,118,1029,292
00d831b06.jpg,25,27,974,269
00d641885.jpg,28,21,1028,487
00dcd026f.jpg,47,201,1044,449
00e9e5122.jpg,52,204,983,377
00e68dc59.jpg,14,209,1023,429
00eaedfab.jpg,29,10,1037,206
00ec13a19.jpg,179,251,851,562
00f0bde81.jpg,28,38,1036,308
00fee3975.jpg,304,233,756,390
0a00c7a0f.jpg,21,29,1027,379
0a1aa01e8.jpg,5,18,966,346
0a2af3c79.jpg,2,116,3614,353
0a2b7202c.jpg,3,93,1040,441
0a4b8ecf9.jpg,86,138,967,511
0a5d8f6f5.jpg,17,90,1029,268
0a5fde7bd.jpg,13,4,1037,395
0a6ab9302.jpg,8,254,1027,478
0a6cdccac.jpg,180,230,944,565
0a7ebe253.jpg,200,303,813,482
0a8b36958.jpg,6,9,1044,310
0a9c17b5c.jpg,140,123,900,480
0a37cb554.jpg,8,9,271,138
0a40d7e53.jpg,60,152,951,399
0a67c59f2.jpg,1,163,1037,381
0a81a4dbe.jpg,3,117,1048,359
0a81ae4d5.jpg,3,0,1046,182
0a85bc882.jpg,18,6,1016,388
0a85f3336.jpg,11,3,1042,228
0a96a111c.jpg,30,45,971,255
0a166dac4.jpg,2,268,1044,553
0a306deba.jpg,32,126,1004,320
0a560b251.jpg,35,219,1043,498
0a682a5d0.jpg,4,2,1042,275
0a725c184.jpg,6,28,1040,381
